symbol,name,category,last_m_close,ret_1m_%,ret_3m_%,ret_6m_%,ret_12m_%,mom_12_1_%,CAGR_5y_%,Vol_ann_%,Sharpe,Sortino,MaxDD_%,Alpha_%,Beta,UpCapture_%,DownCapture_%,Treynor,Info_Ratio,Skewness,Kurtosis,RSI14_monthly,ADX14_monthly,Above_10MO,%_Above_10MO,Expense_%,AUM_M,Div_Yield_%,BidAsk_Proxy_%,AvgDollarVol_60d,Corr_vs_SPY
MJ,Amplify Alternative Harvest ETF,Equity,33.36000061035156,-11.652536829358063,85.7461153168599,71.07692620693109,-13.549989442275345,-2.1477160122327255,-24.483499092083814,58.09039005828852,-0.23922267540341696,-0.6200349178819544,95.01914054221676,,,,,,,1.9642535351843537,6.527405328621908,41.75266249265029,55.51391620642537,1,36.6257287158783,0.76,183.203,,0.1,2826492.7199999997,
MSOS,AdvisorShares Pure US Cannabis ETF,Equity,5.019999980926514,-9.874329870456954,108.29874697685749,92.33717175081367,-29.986054009621867,-22.31520066398077,-27.44592756158716,72.66255345483313,-0.1257762599833388,-0.24619994780332793,94.9532499234121,,,,,,,1.6489408138396833,6.974250581711319,39.16023954630601,37.31508613501961,1,46.227787859580175,0.77,845.471,,0.1,51434879.839999996,
CNBS,Amplify Seymour Cannabis ETF,Equity,30.450000762939453,-9.670716137855983,98.28091467779075,80.07097006331134,-16.881709255893984,-7.983007071154303,-24.04995098014353,65.93308121379651,-0.13828280658680123,-0.3226771573507679,93.751049706852,,,,,,,1.8504261250692446,6.861341808495185,43.91246950626529,54.32061411033298,1,46.39899483860177,0.77,112.124,,0.1,539878.5,
AMDL,GraniteShares 2x Long AMD Daily ETF,Equity,9.649999618530273,-9.133712593987886,13.395997167889927,87.74318811662398,-36.51315960775124,-30.131578823536053,-30.345988688934444,90.12907025124439,-0.048800687660523354,-0.1663381653573069,76.31133718159488,,,,,,,1.2136382883681347,0.7778123571794189,44.45736319920915,,1,27.25833692365578,1.15,493.22,,0.1,349441766.3,
REMX,VanEck Rare Earth and Strategic Metals ETF,Equity,59.86000061035156,-5.089581576034286,47.51108405456614,51.42930042715346,33.07760263666309,40.21390364354333,-0.29540933993720264,41.20728801829607,0.18326964466568807,0.3324576337684325,67.92465528638049,,,,,,,0.4161296232078505,0.49199518880373416,68.17497501706751,35.401471998209345,1,34.514790087161586,0.58,755.347,,0.1,32372647.16,
NVDU,Direxion Daily NVDA Bull 2X Shares,Equity,111.73999786376953,-4.422209936184829,13.706578964121597,115.3142292110966,39.17161352290315,45.61083012066018,149.00124093535288,80.91877193225126,1.5642071891629907,4.189304099598963,51.534871726818864,,,,,,,0.37720148195496084,-0.7598712351261363,59.15043522681171,,1,32.2279626494896,0.97,623.794,,0.1,79564802.22,
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,Equity,16.280000686645508,-4.403992776043342,11.69811938039631,108.98588917031189,31.707973821999214,37.77560135272344,158.96210063530748,90.04302267384372,1.5187900586486758,4.568671036581524,52.523059651032746,,,,,,,0.5312226393087698,-0.7993292519276145,57.35533242663114,,1,30.109238124966488,1.05,611.561,,0.1,220711297.4,
NVDL,GraniteShares 2x Long NVDA Daily ETF,Equity,79.5199966430664,-4.2965457361516695,12.922463377930216,112.62030320518197,36.65578023672103,42.790854612174954,189.59269471934473,85.51667015929138,1.6980698078049532,4.755874323090396,51.73181102024608,,,,,,,0.4629937254105499,-0.6682003329731598,58.51045726076747,30.614097977981604,1,29.915532209328923,1.06,3933.91,,0.1,985158568.8,
FAS,Direxion Daily Financial Bull 3X Shares,Equity,172.8000030517578,-4.005328412364529,2.819052295293134,9.935566379811789,34.432104766771786,40.04121535438141,15.588267287719294,62.11242324029828,0.574995084621213,0.8414305473353879,75.18332381723076,,,,,,,-0.45087822592113547,1.7401535613346009,61.65619983832633,42.288020881874324,1,4.7227829047267855,0.89,2584.11,,0.1,98135539.2,
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,Equity,56.720001220703125,-3.6357447629249307,9.460082221639166,85.10781028974435,79.04624881283544,85.80151776438925,4.504640411416672,72.02489361343517,0.45832955297247685,0.7106137290725095,85.96305963233868,,,,,,,0.12085343790574198,3.064731720440663,71.4284142942408,23.79884986285619,1,34.870083596448964,0.95,324.353,,0.1,16348802.64,
MSFU,Direxion Daily MSFT Bull 2X Shares,Equity,48.810001373291016,-3.5375437842069424,-0.9782109869869604,66.20515487044369,17.4924432571669,21.801214551626536,36.03067080773119,39.3336397790358,0.9871607720485026,2.394452788769088,36.643580860740784,,,,,,,0.4752828091435878,0.17688234980341422,57.67544784961445,24.907494923208656,1,16.955859729427345,0.9899999999999999,137.376,,0.1,16897241.04,
VNM,VanEck Vietnam ETF,Equity,17.670000076293945,-3.3898349272746486,28.509091463955972,41.58654426623165,38.26291428400437,43.114251155583915,1.9579556389942576,25.39158870664539,0.19029882605145168,0.2721166463610897,46.232123719241734,,,,,,,-0.27127702055234365,0.9404013417023376,77.29044451996172,41.31387865942623,1,27.177198851115534,0.68,585.062,,0.1,13057440.870000001,
DPST,Direxion Daily Regional Banks Bull 3X Shares,Equity,107.38999938964844,-3.191202475244359,24.670556810405706,25.607718458107385,10.052039260521628,13.679791583383171,-29.77793519820343,92.35937320019296,0.14630057157624693,0.2535438269492552,97.08788260241464,,,,,,,0.04545797937527388,0.7347550996828329,49.242364040433856,33.98100481865477,1,10.807555936520608,0.9000000000000001,732.137,,0.1,90798889.34,
